category,title,content
pricing,Do you offer discounts on Powdered milk for bulk orders?,Bulk pricing on Powdered milk may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Eggs available in stock?,"Yes, Eggs is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Eggs?,You can find Eggs listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Mayai, mnayo?","Ndiyo, Mayai (Eggs) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Eggs?,"The price of Eggs depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Mayai ni kiasi gani?,"Bei ya Mayai inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Eggs for bulk orders?,Bulk pricing on Eggs may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Bread available in stock?,"Yes, Bread is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Bread?,You can find Bread listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Mkate, mnayo?","Ndiyo, Mkate (Bread) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Bread?,"The price of Bread depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Mkate ni kiasi gani?,"Bei ya Mkate inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Bread for bulk orders?,Bulk pricing on Bread may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Biscuits available in stock?,"Yes, Biscuits is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Biscuits?,You can find Biscuits listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Biskuti, mnayo?","Ndiyo, Biskuti (Biscuits) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Biscuits?,"The price of Biscuits depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Biskuti ni kiasi gani?,"Bei ya Biskuti inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Biscuits for bulk orders?,Bulk pricing on Biscuits may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Peanut butter available in stock?,"Yes, Peanut butter is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Peanut butter?,You can find Peanut butter listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Siagi ya karanga, mnayo?","Ndiyo, Siagi ya karanga (Peanut butter) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Peanut butter?,"The price of Peanut butter depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Siagi ya karanga ni kiasi gani?,"Bei ya Siagi ya karanga inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Peanut butter for bulk orders?,Bulk pricing on Peanut butter may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Margarine available in stock?,"Yes, Margarine is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Margarine?,You can find Margarine listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Siagi ya kupaka, mnayo?","Ndiyo, Siagi ya kupaka (Margarine) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Margarine?,"The price of Margarine depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Siagi ya kupaka ni kiasi gani?,"Bei ya Siagi ya kupaka inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Margarine for bulk orders?,Bulk pricing on Margarine may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Tomato sauce available in stock?,"Yes, Tomato sauce is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Tomato sauce?,You can find Tomato sauce listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Mchuzi wa nyanya, mnayo?","Ndiyo, Mchuzi wa nyanya (Tomato sauce) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Tomato sauce?,"The price of Tomato sauce depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Mchuzi wa nyanya ni kiasi gani?,"Bei ya Mchuzi wa nyanya inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Tomato sauce for bulk orders?,Bulk pricing on Tomato sauce may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Spices available in stock?,"Yes, Spices is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Spices?,You can find Spices listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Viungo, mnayo?","Ndiyo, Viungo (Spices) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Spices?,"The price of Spices depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Viungo ni kiasi gani?,"Bei ya Viungo inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Spices for bulk orders?,Bulk pricing on Spices may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Onions available in stock?,"Yes, Onions is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Onions?,You can find Onions listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Vitunguu, mnayo?","Ndiyo, Vitunguu (Onions) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Onions?,"The price of Onions depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Vitunguu ni kiasi gani?,"Bei ya Vitunguu inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Onions for bulk orders?,Bulk pricing on Onions may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Tomatoes available in stock?,"Yes, Tomatoes is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Tomatoes?,You can find Tomatoes listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Nyanya, mnayo?","Ndiyo, Nyanya (Tomatoes) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Tomatoes?,"The price of Tomatoes depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Nyanya ni kiasi gani?,"Bei ya Nyanya inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Tomatoes for bulk orders?,Bulk pricing on Tomatoes may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Potatoes available in stock?,"Yes, Potatoes is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Potatoes?,You can find Potatoes listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Viazi, mnayo?","Ndiyo, Viazi (Potatoes) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Potatoes?,"The price of Potatoes depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Viazi ni kiasi gani?,"Bei ya Viazi inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Potatoes for bulk orders?,Bulk pricing on Potatoes may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Bananas available in stock?,"Yes, Bananas is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Bananas?,You can find Bananas listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Ndizi, mnayo?","Ndiyo, Ndizi (Bananas) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Bananas?,"The price of Bananas depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Ndizi ni kiasi gani?,"Bei ya Ndizi inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Bananas for bulk orders?,Bulk pricing on Bananas may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Oranges available in stock?,"Yes, Oranges is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Oranges?,You can find Oranges listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Machungwa, mnayo?","Ndiyo, Machungwa (Oranges) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Oranges?,"The price of Oranges depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Machungwa ni kiasi gani?,"Bei ya Machungwa inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Oranges for bulk orders?,Bulk pricing on Oranges may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Mangoes available in stock?,"Yes, Mangoes is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Mangoes?,You can find Mangoes listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Maembe, mnayo?","Ndiyo, Maembe (Mangoes) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Mangoes?,"The price of Mangoes depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Maembe ni kiasi gani?,"Bei ya Maembe inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Mangoes for bulk orders?,Bulk pricing on Mangoes may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Avocados available in stock?,"Yes, Avocados is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Avocados?,You can find Avocados listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Parachichi, mnayo?","Ndiyo, Parachichi (Avocados) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Avocados?,"The price of Avocados depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Parachichi ni kiasi gani?,"Bei ya Parachichi inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Avocados for bulk orders?,Bulk pricing on Avocados may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Chicken available in stock?,"Yes, Chicken is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Chicken?,You can find Chicken listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Kuku, mnayo?","Ndiyo, Kuku (Chicken) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Chicken?,"The price of Chicken depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Kuku ni kiasi gani?,"Bei ya Kuku inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Chicken for bulk orders?,Bulk pricing on Chicken may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Beef available in stock?,"Yes, Beef is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Beef?,You can find Beef listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Nyama ya ng'ombe, mnayo?","Ndiyo, Nyama ya ng'ombe (Beef) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Beef?,"The price of Beef depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Nyama ya ng'ombe ni kiasi gani?,"Bei ya Nyama ya ng'ombe inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Beef for bulk orders?,Bulk pricing on Beef may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Fish available in stock?,"Yes, Fish is available under the Food and Groceries category. Availability and exact stock levels may vary by seller."
products,Where can I find Fish?,You can find Fish listed under the Food and Groceries category. Our agent can help you compare sellers and options.
products,"Nahitaji Samaki, mnayo?","Ndiyo, Samaki (Fish) inapatikana kwenye category ya Food and Groceries. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Fish?,"The price of Fish depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Samaki ni kiasi gani?,"Bei ya Samaki inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Fish for bulk orders?,Bulk pricing on Fish may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Bottled water available in stock?,"Yes, Bottled water is available under the Drinks category. Availability and exact stock levels may vary by seller."
products,Where can I find Bottled water?,You can find Bottled water listed under the Drinks category. Our agent can help you compare sellers and options.
products,"Nahitaji Maji ya chupa, mnayo?","Ndiyo, Maji ya chupa (Bottled water) inapatikana kwenye category ya Drinks. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Bottled water?,"The price of Bottled water depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Maji ya chupa ni kiasi gani?,"Bei ya Maji ya chupa inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Bottled water for bulk orders?,Bulk pricing on Bottled water may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Soda available in stock?,"Yes, Soda is available under the Drinks category. Availability and exact stock levels may vary by seller."
products,Where can I find Soda?,You can find Soda listed under the Drinks category. Our agent can help you compare sellers and options.
products,"Nahitaji Soda, mnayo?","Ndiyo, Soda (Soda) inapatikana kwenye category ya Drinks. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
pricing,What is the price of Soda?,"The price of Soda depends on brand, size, quantity, and seller. Please specify your preferred option so we can give you an exact quote."
pricing,Bei ya Soda ni kiasi gani?,"Bei ya Soda inategemea aina, ukubwa, kiasi, na muuzaji. Tafadhali eleza mahitaji yako ili tukupatie bei sahihi."
pricing,Do you offer discounts on Soda for bulk orders?,Bulk pricing on Soda may be available depending on the seller. Please share the quantity you need so we can arrange a bulk quote.
products,Is Juice available in stock?,"Yes, Juice is available under the Drinks category. Availability and exact stock levels may vary by seller."
products,Where can I find Juice?,You can find Juice listed under the Drinks category. Our agent can help you compare sellers and options.
products,"Nahitaji Juisi, mnayo?","Ndiyo, Juisi (Juice) inapatikana kwenye category ya Drinks. Upatikanaji unaweza kutofautiana kulingana na muuzaji."
