customer,category,answers,language
Nikinunua 5 kipande za Shuka ya Kimasai nitatozwa kiasi gani?,Nguo na Mavazi,"Shuka ya Kimasai inapatikana kwa bei ya TZS 22,000. Tafadhali fahamu usafirishaji hadi Morogoro unachukua siku 3.",Kiswahili
"I want to buy Cough syrup, what is the price?",Health & Pharmacy,"Thank you for your inquiry. Cough syrup is priced at TZS 7,000 and is available for delivery within 2 days.",English
Naomba mnithibitishie bei ya sasa ya Televisheni ya LG inchi 43.,Vifaa vya Nyumbani na Umeme,"Bei yetu ya Televisheni ya LG inchi 43 ni TZS 531,000, na tunaweza kuisafirisha hadi Morogoro ndani ya siku 3.",Kiswahili
Do you have Vitamin C tablets in stock right now?,Health & Pharmacy,"The price of Vitamin C tablets is TZS 12,000. It is currently in stock and can be delivered to Songea within 4 days.",English
"Nataka kununua Ada ya kutoa pesa mtandaoni (100000), bei yake ni ngapi?",Mifuko ya Intaneti na Salio,"Bei yetu ya Ada ya kutoa pesa mtandaoni (100000) ni TZS 3,500, na tunaweza kuisafirisha hadi Shinyanga ndani ya siku 7.",Kiswahili
Nina hamu ya kununua Dawa ya kikohozi. Bei yake ni ngapi?,Afya na Dawa,"Dawa ya kikohozi inauzwa TZS 4,000 kwa chupa. Tunayo bidhaa hii na usafirishaji unachukua siku 2.",Kiswahili
"I want to buy Ballpoint pens (dozen), what is the price?","Books, Education & Stationery","Ballpoint pens (dozen) costs TZS 4,500 per dozen. We have it available and delivery takes about 1 days.",English
What's your best price for Hisense refrigerator 150L?,Home Appliances & Electronics,"Our price for Hisense refrigerator 150L is TZS 770,000, and we can deliver it to Moshi within 7 days.",English
Bei ya 1 kipande za Kiondoa harufu mbaya gari ni ngapi?,Magari na Vipuri,"Asante kwa swali lako. Kiondoa harufu mbaya gari ina bei ya TZS 6,500 na inapatikana kwa usafirishaji ndani ya siku 7.",Kiswahili
Can you confirm the current price of Face mask (box of 50)?,Health & Pharmacy,"Face mask (box of 50) costs TZS 10,000 per box. We have it available and delivery takes about 2 days.",English
Do you have External hard drive 1TB in stock right now?,"Computers, IT & Office","External hard drive 1TB costs TZS 99,500 per piece. We have it available and delivery takes about 1 days.",English
"I want to buy TVS motorcycle, what is the price?","Motorcycles, Bicycles & Spare Parts","Thank you for your inquiry. TVS motorcycle is priced at TZS 3,084,500 and is available for delivery within 5 days.",English
Usafirishaji wa Pochi ya ngozi hadi Dodoma unachukua muda gani?,Viatu na Mikoba,"Kwa sasa tunauza Pochi ya ngozi kwa TZS 20,000. Ipo dukani na tayari kwa usafirishaji ndani ya siku 7.",Kiswahili
Naweza kupata Dawa ya meno kikaletwa Moshi?,Vipodozi na Usafi wa Mwili,"Bei ya sasa ya 2 mrija za Dawa ya meno ni TZS 5,500. Usafirishaji ndani ya siku 7 unawezekana.",Kiswahili
Can you confirm the current price of Mosquito net (treated)?,Health & Pharmacy,"Mosquito net (treated) is available at TZS 13,500. Kindly note delivery to Moshi takes 2 days.",English
"Je, Chandarua (kilichotibiwa) inapatikana Tanga?",Afya na Dawa,"Bei ya sasa ya 2 kipande za Chandarua (kilichotibiwa) ni TZS 15,500. Usafirishaji ndani ya siku 4 unawezekana.",Kiswahili
"Je, kuna punguzo nikinunua 5 kipande za Chaja ya simu?",Simu za Mkononi,"Chaja ya simu inauzwa TZS 16,500 kwa kipande. Tunayo bidhaa hii na usafirishaji unachukua siku 3.",Kiswahili
"Je, mnayo Televisheni ya LG inchi 43 kwa sasa dukani?",Vifaa vya Nyumbani na Umeme,"Bei yetu ya Televisheni ya LG inchi 43 ni TZS 602,000, na tunaweza kuisafirisha hadi Shinyanga ndani ya siku 5.",Kiswahili
I'm interested in University past papers booklet. How much is it?,"Books, Education & Stationery","Thank you for your inquiry. University past papers booklet is priced at TZS 9,000 and is available for delivery within 4 days.",English
"Je, Tairi la gari inapatikana Moshi?",Magari na Vipuri,"Bei yetu ya Tairi la gari ni TZS 164,500, na tunaweza kuisafirisha hadi Moshi ndani ya siku 3.",Kiswahili
Please tell me the cost of School shoes including delivery to Iringa.,Shoes & Bags,"Yes, School shoes is in stock. The price is TZS 23,500 and delivery to Iringa takes 2 days.",English
What's your best price for TVS motorcycle?,"Motorcycles, Bicycles & Spare Parts","TVS motorcycle is available at TZS 3,392,500. Kindly note delivery to Songea takes 2 days.",English
"I want to buy Wireless mouse, what is the price?","Computers, IT & Office","Thank you for your inquiry. Wireless mouse is priced at TZS 26,500 and is available for delivery within 3 days.",English
"Je, Vocha ya salio 5000 inapatikana Kigoma?",Mifuko ya Intaneti na Salio,"Vocha ya salio 5000 inauzwa TZS 5,000 kwa vocha. Tunayo bidhaa hii na usafirishaji unachukua siku 3.",Kiswahili
Is there a discount if I buy 2 piece of Soap bar?,Cosmetics & Personal Care,"The current price for 2 piece of Soap bar is TZS 2,000. Delivery within 2 days is possible.",English
"Je, kuna punguzo nikinunua 2 kipande za Kioo cha pembeni?",Magari na Vipuri,"Bei ya sasa ya 2 kipande za Kioo cha pembeni ni TZS 51,000. Usafirishaji ndani ya siku 4 unawezekana.",Kiswahili
What is the price of Ballpoint pens (dozen)?,"Books, Education & Stationery","Yes, Ballpoint pens (dozen) is in stock. The price is TZS 4,500 and delivery to Songea takes 1 days.",English
Bei ya 5 kipande za Begi la shule ni ngapi?,"Vitabu, Elimu na Vifaa vya Shule","Bei ya Begi la shule ni TZS 44,000. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Mbeya ndani ya siku 1.",Kiswahili
Can I get Microwave oven delivered to Moshi?,Home Appliances & Electronics,"We currently sell Microwave oven at TZS 217,000. It's in stock and ready for delivery within 1 days.",English
"Je, Toyota Noah (mtumba) inapatikana Mwanza?",Magari na Vipuri,"Bei ya Toyota Noah (mtumba) ni TZS 22,131,500. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Mwanza ndani ya siku 2.",Kiswahili
Tafadhali nieleze bei ya Seti ya kufunika viti vya gari pamoja na usafirishaji hadi Dodoma.,Magari na Vipuri,"Seti ya kufunika viti vya gari inauzwa TZS 106,000 kwa seti. Tunayo bidhaa hii na usafirishaji unachukua siku 2.",Kiswahili
What is the price for 10 set of Makeup kit?,Cosmetics & Personal Care,"Thank you for your inquiry. Makeup kit is priced at TZS 30,000 and is available for delivery within 5 days.",English
Is there a discount if I buy 2 bundle of Tigo 10GB monthly bundle?,Internet & Airtime Bundles,"The current price for 2 bundle of Tigo 10GB monthly bundle is TZS 42,000. Delivery within 1 days is possible.",English
Bei yenu nzuri zaidi ya Chaja ya simu ni ngapi?,Simu za Mkononi,"Ndiyo, Chaja ya simu ipo dukani. Bei yake ni TZS 19,000 na usafirishaji hadi Mwanza unachukua siku 2.",Kiswahili
How much would 1 piece of Screen protector cost me?,Mobile Phones,"The current price for 1 piece of Screen protector is TZS 7,500. Delivery within 1 days is possible.",English
How much would 1 piece of Double bed frame cost me?,Furniture & Home,"Thank you for your inquiry. Double bed frame is priced at TZS 333,500 and is available for delivery within 2 days.",English
Bei yenu nzuri zaidi ya Kipanya kisichotumia waya ni ngapi?,"Kompyuta, TEHAMA na Ofisi","Ndiyo, Kipanya kisichotumia waya ipo dukani. Bei yake ni TZS 22,500 na usafirishaji hadi Morogoro unachukua siku 2.",Kiswahili
Is Hair relaxer available in Zanzibar?,Cosmetics & Personal Care,"The price of Hair relaxer is TZS 11,500. It is currently in stock and can be delivered to Zanzibar within 1 days.",English
I'm interested in Chicken feed 50kg. How much is it?,Agriculture & Livestock,"The price of Chicken feed 50kg is TZS 71,000. It is currently in stock and can be delivered to Dodoma within 5 days.",English
Can I get Leather handbag delivered to Shinyanga?,Shoes & Bags,"Yes, Leather handbag is in stock. The price is TZS 48,000 and delivery to Shinyanga takes 7 days.",English
Nikinunua 5 kipande za Kifuniko cha simu nitatozwa kiasi gani?,Simu za Mkononi,"Bei ya sasa ya 5 kipande za Kifuniko cha simu ni TZS 50,000. Usafirishaji ndani ya siku 2 unawezekana.",Kiswahili
How long will delivery of Shea butter to Shinyanga take?,Cosmetics & Personal Care,"Shea butter costs TZS 8,000 per tin. We have it available and delivery takes about 1 days.",English
Usafirishaji wa Kitabu cha shule ya sekondari hadi Tabora unachukua muda gani?,"Vitabu, Elimu na Vifaa vya Shule","Kitabu cha shule ya sekondari inauzwa TZS 16,500 kwa kipande. Tunayo bidhaa hii na usafirishaji unachukua siku 5.",Kiswahili
What is the price of Rice 25kg?,Food & Beverages,"The current price for 2 bag of Rice 25kg is TZS 68,000. Delivery within 3 days is possible.",English
What is the price for 3 bottle of Cough syrup?,Health & Pharmacy,"The current price for 3 bottle of Cough syrup is TZS 25,500. Delivery within 1 days is possible.",English
How much does Thermometer (digital) cost?,Health & Pharmacy,"We currently sell Thermometer (digital) at TZS 22,000. It's in stock and ready for delivery within 4 days.",English
What is the price for 5 set of Wooden sofa set?,Furniture & Home,"The current price for 5 set of Wooden sofa set is TZS 3,197,500. Delivery within 1 days is possible.",English
Is there a discount if I buy 10 piece of itel A70?,Mobile Phones,"Yes, itel A70 is in stock. The price is TZS 182,000 and delivery to Songea takes 2 days.",English
"Je, Kengele ya baiskeli inapatikana Mbeya?","Pikipiki, Baiskeli na Vipuri","Bei ya Kengele ya baiskeli ni TZS 3,000. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Mbeya ndani ya siku 3.",Kiswahili
What's your best price for Coffee (Arabica) 1kg?,Food & Beverages,"The price of Coffee (Arabica) 1kg is TZS 17,000. It is currently in stock and can be delivered to Iringa within 7 days.",English
How much would 3 piece of Car air freshener cost me?,Vehicles & Auto Parts,"The price of Car air freshener is TZS 6,500. It is currently in stock and can be delivered to Tanga within 3 days.",English
"I want to buy Coffee (Arabica) 1kg, what is the price?",Food & Beverages,"Yes, Coffee (Arabica) 1kg is in stock. The price is TZS 16,000 and delivery to Zanzibar takes 1 days.",English
Is Scientific calculator available in Arusha?,"Books, Education & Stationery","Scientific calculator is available at TZS 19,500. Kindly note delivery to Arusha takes 4 days.",English
Can I get School uniform set delivered to Kigoma?,Clothing & Textiles,"Our price for School uniform set is TZS 40,000, and we can deliver it to Kigoma within 3 days.",English
I'm interested in USB flash drive 32GB. How much is it?,"Computers, IT & Office","Thank you for your inquiry. USB flash drive 32GB is priced at TZS 17,000 and is available for delivery within 3 days.",English
Is Sugar 50kg available in Dar es Salaam?,Food & Beverages,"The price of Sugar 50kg is TZS 132,000. It is currently in stock and can be delivered to Dar es Salaam within 1 days.",English
Please tell me the cost of Waist bag including delivery to Songea.,Shoes & Bags,"Yes, Waist bag is in stock. The price is TZS 18,500 and delivery to Songea takes 7 days.",English
"I want to buy Bluetooth earphones, what is the price?",Mobile Phones,"The price of Bluetooth earphones is TZS 48,500. It is currently in stock and can be delivered to Zanzibar within 5 days.",English
What is the price for 3 bottle of Perfume?,Cosmetics & Personal Care,"Our price for Perfume is TZS 26,000, and we can deliver it to Zanzibar within 1 days.",English
What is the price of Solar panel 100W?,Home Appliances & Electronics,"Solar panel 100W is available at TZS 157,500. Kindly note delivery to Dodoma takes 7 days.",English
Can you confirm the current price of A4 paper ream?,"Computers, IT & Office","We currently sell A4 paper ream at TZS 16,000. It's in stock and ready for delivery within 3 days.",English
Bei ya 3 mfuko za Mfuko wa Vodacom GB 5 wa mwezi ni ngapi?,Mifuko ya Intaneti na Salio,"Asante kwa swali lako. Mfuko wa Vodacom GB 5 wa mwezi ina bei ya TZS 18,000 na inapatikana kwa usafirishaji ndani ya siku 3.",Kiswahili
Please tell me the cost of Waist bag including delivery to Kigoma.,Shoes & Bags,"Yes, Waist bag is in stock. The price is TZS 13,000 and delivery to Kigoma takes 7 days.",English
Bei ya Maziwa mabichi lita 1 ni ngapi?,Vyakula na Vinywaji,"Maziwa mabichi lita 1 inapatikana kwa bei ya TZS 2,000. Tafadhali fahamu usafirishaji hadi Morogoro unachukua siku 2.",Kiswahili
Please tell me the cost of Spare battery (motorcycle) including delivery to Moshi.,"Motorcycles, Bicycles & Spare Parts","Our price for Spare battery (motorcycle) is TZS 65,500, and we can deliver it to Moshi within 4 days.",English
Bei ya 3 kipande za Dawa ya kuzuia harufu mwilini ni ngapi?,Vipodozi na Usafi wa Mwili,"Dawa ya kuzuia harufu mwilini inapatikana kwa bei ya TZS 6,500. Tafadhali fahamu usafirishaji hadi Morogoro unachukua siku 5.",Kiswahili
Naomba mnithibitishie bei ya sasa ya Manukato.,Vipodozi na Usafi wa Mwili,"Manukato inapatikana kwa bei ya TZS 34,500. Tafadhali fahamu usafirishaji hadi Dar es Salaam unachukua siku 3.",Kiswahili
Is Whiteboard marker (pack) available in Dodoma?,"Books, Education & Stationery","Whiteboard marker (pack) is available at TZS 9,000. Kindly note delivery to Dodoma takes 7 days.",English
Can I get Wheelbarrow delivered to Dodoma?,Agriculture & Livestock,"Wheelbarrow costs TZS 58,000 per piece. We have it available and delivery takes about 1 days.",English
Nina hamu ya kununua Betri ya gari. Bei yake ni ngapi?,Magari na Vipuri,"Bei ya Betri ya gari ni TZS 176,000. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Tanga ndani ya siku 5.",Kiswahili
Tafadhali nieleze bei ya Suti ya wanaume pamoja na usafirishaji hadi Songea.,Nguo na Mavazi,"Suti ya wanaume inapatikana kwa bei ya TZS 246,000. Tafadhali fahamu usafirishaji hadi Songea unachukua siku 1.",Kiswahili
What's your best price for Cough syrup?,Health & Pharmacy,"Cough syrup is available at TZS 8,000. Kindly note delivery to Arusha takes 4 days.",English
"Je, mnayo Meza ya ofisi kwa sasa dukani?","Kompyuta, TEHAMA na Ofisi","Bei ya sasa ya 1 kipande za Meza ya ofisi ni TZS 152,000. Usafirishaji ndani ya siku 7 unawezekana.",Kiswahili
Naweza kupata Pikipiki ya Bajaj Boxer kikaletwa Iringa?,"Pikipiki, Baiskeli na Vipuri","Ndiyo, Pikipiki ya Bajaj Boxer ipo dukani. Bei yake ni TZS 3,600,000 na usafirishaji hadi Iringa unachukua siku 7.",Kiswahili
What's your best price for Cough syrup?,Health & Pharmacy,"The price of Cough syrup is TZS 6,500. It is currently in stock and can be delivered to Mwanza within 7 days.",English
"Je, mnauza Mafuta ya shea? Kama ndiyo, bei yake ni ngapi?",Vipodozi na Usafi wa Mwili,"Bei ya Mafuta ya shea ni TZS 12,500. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Tanga ndani ya siku 4.",Kiswahili
Nikinunua 3 mfuko za Mfuko wa Halotel GB 1 wa siku nitatozwa kiasi gani?,Mifuko ya Intaneti na Salio,"Bei yetu ya Mfuko wa Halotel GB 1 wa siku ni TZS 500, na tunaweza kuisafirisha hadi Morogoro ndani ya siku 1.",Kiswahili
"Je, mnauza Usajili wa laini? Kama ndiyo, bei yake ni ngapi?",Mifuko ya Intaneti na Salio,"Usajili wa laini inapatikana kwa bei ya TZS 2,500. Tafadhali fahamu usafirishaji hadi Morogoro unachukua siku 7.",Kiswahili
Bei ya 2 jozi za Jozi ya leso ni ngapi?,Nguo na Mavazi,"Ndiyo, Jozi ya leso ipo dukani. Bei yake ni TZS 8,500 na usafirishaji hadi Tabora unachukua siku 4.",Kiswahili
"Do you sell Body lotion? If so, at what price?",Cosmetics & Personal Care,"Body lotion costs TZS 8,500 per bottle. We have it available and delivery takes about 1 days.",English
Bei ya Tairi la gari ni ngapi?,Magari na Vipuri,"Bei ya sasa ya 3 kipande za Tairi la gari ni TZS 137,000. Usafirishaji ndani ya siku 5 unawezekana.",Kiswahili
Bei ya 5 mfuko za Mfuko wa TTCL wa wiki ni ngapi?,Mifuko ya Intaneti na Salio,"Bei ya Mfuko wa TTCL wa wiki ni TZS 6,500. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Kigoma ndani ya siku 4.",Kiswahili
Naweza kupata Mafuta ya injini ya gari lita 4 kikaletwa Arusha?,Magari na Vipuri,"Mafuta ya injini ya gari lita 4 inapatikana kwa bei ya TZS 38,000. Tafadhali fahamu usafirishaji hadi Arusha unachukua siku 1.",Kiswahili
Nikinunua 10 kipande za Mkoba wa ngozi nitatozwa kiasi gani?,Viatu na Mikoba,"Asante kwa swali lako. Mkoba wa ngozi ina bei ya TZS 30,000 na inapatikana kwa usafirishaji ndani ya siku 3.",Kiswahili
"I want to buy Side mirror, what is the price?",Vehicles & Auto Parts,"The price of Side mirror is TZS 28,000. It is currently in stock and can be delivered to Moshi within 7 days.",English
What is the price for 1 crate of Kilimanjaro beer crate?,Food & Beverages,"We currently sell Kilimanjaro beer crate at TZS 54,500. It's in stock and ready for delivery within 3 days.",English
I'm interested in Rice 25kg. How much is it?,Food & Beverages,"Rice 25kg costs TZS 59,500 per bag. We have it available and delivery takes about 4 days.",English
Usafirishaji wa Chandarua (kilichotibiwa) hadi Mwanza unachukua muda gani?,Afya na Dawa,"Ndiyo, Chandarua (kilichotibiwa) ipo dukani. Bei yake ni TZS 10,000 na usafirishaji hadi Mwanza unachukua siku 2.",Kiswahili
How long will delivery of Irrigation pipe (per meter) to Iringa take?,Agriculture & Livestock,"We currently sell Irrigation pipe (per meter) at TZS 6,000. It's in stock and ready for delivery within 5 days.",English
Please tell me the cost of Wallet (leather) including delivery to Arusha.,Shoes & Bags,"The price of Wallet (leather) is TZS 22,500. It is currently in stock and can be delivered to Arusha within 7 days.",English
"Je, mnayo Kalamu za wino (dazani) kwa sasa dukani?","Vitabu, Elimu na Vifaa vya Shule","Kalamu za wino (dazani) inapatikana kwa bei ya TZS 5,000. Tafadhali fahamu usafirishaji hadi Zanzibar unachukua siku 4.",Kiswahili
How long will delivery of Secondary school textbook to Shinyanga take?,"Books, Education & Stationery","We currently sell Secondary school textbook at TZS 11,500. It's in stock and ready for delivery within 3 days.",English
Can I get Bicycle tyre delivered to Mwanza?,"Motorcycles, Bicycles & Spare Parts","The current price for 2 piece of Bicycle tyre is TZS 23,000. Delivery within 7 days is possible.",English
Usafirishaji wa Kahawa (Arabica) kilo 1 hadi Dar es Salaam unachukua muda gani?,Vyakula na Vinywaji,"Bei yetu ya Kahawa (Arabica) kilo 1 ni TZS 13,500, na tunaweza kuisafirisha hadi Dar es Salaam ndani ya siku 4.",Kiswahili
I'm interested in Bottled water 24pk. How much is it?,Food & Beverages,"Bottled water 24pk is available at TZS 9,500. Kindly note delivery to Dodoma takes 2 days.",English
"Je, mnayo Dawa ya kunyoosha nywele kwa sasa dukani?",Vipodozi na Usafi wa Mwili,"Dawa ya kunyoosha nywele inapatikana kwa bei ya TZS 14,000. Tafadhali fahamu usafirishaji hadi Zanzibar unachukua siku 2.",Kiswahili
Naweza kupata Mbolea (UREA) kilo 50 kikaletwa Morogoro?,Kilimo na Mifugo,"Mbolea (UREA) kilo 50 inauzwa TZS 71,000 kwa gunia. Tunayo bidhaa hii na usafirishaji unachukua siku 3.",Kiswahili
How much does Engine oil 1L cost?,"Motorcycles, Bicycles & Spare Parts","Thank you for your inquiry. Engine oil 1L is priced at TZS 14,500 and is available for delivery within 5 days.",English
Can you confirm the current price of Tecno Spark 20?,Mobile Phones,"Our price for Tecno Spark 20 is TZS 225,500, and we can deliver it to Dar es Salaam within 5 days.",English
"I want to buy Body lotion, what is the price?",Cosmetics & Personal Care,"Yes, Body lotion is in stock. The price is TZS 23,500 and delivery to Morogoro takes 5 days.",English
How much would 2 tin of Shea butter cost me?,Cosmetics & Personal Care,"We currently sell Shea butter at TZS 16,000. It's in stock and ready for delivery within 2 days.",English
"I want to buy Bicycle tyre, what is the price?","Motorcycles, Bicycles & Spare Parts","Bicycle tyre costs TZS 13,500 per piece. We have it available and delivery takes about 5 days.",English
"I want to buy School uniform set, what is the price?",Clothing & Textiles,"School uniform set costs TZS 33,000 per set. We have it available and delivery takes about 7 days.",English
Usafirishaji wa Tairi la pikipiki hadi Iringa unachukua muda gani?,"Pikipiki, Baiskeli na Vipuri","Bei ya Tairi la pikipiki ni TZS 61,000. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Iringa ndani ya siku 2.",Kiswahili
Bei yenu nzuri zaidi ya Nyweleponda za kusuka ni ngapi?,Vipodozi na Usafi wa Mwili,"Bei ya Nyweleponda za kusuka ni TZS 9,500. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Mwanza ndani ya siku 5.",Kiswahili
"Nataka kununua Kipika mchele, bei yake ni ngapi?",Vifaa vya Nyumbani na Umeme,"Ndiyo, Kipika mchele ipo dukani. Bei yake ni TZS 72,000 na usafirishaji hadi Arusha unachukua siku 1.",Kiswahili
Please tell me the cost of Car tyre including delivery to Iringa.,Vehicles & Auto Parts,"Thank you for your inquiry. Car tyre is priced at TZS 90,500 and is available for delivery within 3 days.",English
How much would 5 set of Makeup kit cost me?,Cosmetics & Personal Care,"Our price for Makeup kit is TZS 58,500, and we can deliver it to Dodoma within 4 days.",English
"Je, mnauza Mfuko wa Tigo GB 10 wa mwezi? Kama ndiyo, bei yake ni ngapi?",Mifuko ya Intaneti na Salio,"Bei ya sasa ya 1 mfuko za Mfuko wa Tigo GB 10 wa mwezi ni TZS 22,500. Usafirishaji ndani ya siku 3 unawezekana.",Kiswahili
Can you confirm the current price of Sunscreen?,Cosmetics & Personal Care,"Thank you for your inquiry. Sunscreen is priced at TZS 29,000 and is available for delivery within 3 days.",English
Bei ya 5 dazani za Kalamu za wino (dazani) ni ngapi?,"Vitabu, Elimu na Vifaa vya Shule","Kalamu za wino (dazani) inapatikana kwa bei ya TZS 7,000. Tafadhali fahamu usafirishaji hadi Mwanza unachukua siku 2.",Kiswahili
Nikinunua 10 kipande za Kioo cha kulinda skrini nitatozwa kiasi gani?,Simu za Mkononi,"Kwa sasa tunauza Kioo cha kulinda skrini kwa TZS 6,500. Ipo dukani na tayari kwa usafirishaji ndani ya siku 3.",Kiswahili
How much does Coffee (Arabica) 1kg cost?,Food & Beverages,"The price of Coffee (Arabica) 1kg is TZS 14,000. It is currently in stock and can be delivered to Mbeya within 3 days.",English
Bei yenu nzuri zaidi ya Daftari (pakiti ya 10) ni ngapi?,"Vitabu, Elimu na Vifaa vya Shule","Asante kwa swali lako. Daftari (pakiti ya 10) ina bei ya TZS 10,500 na inapatikana kwa usafirishaji ndani ya siku 2.",Kiswahili
Usafirishaji wa Viatu vya michezo hadi Dodoma unachukua muda gani?,Viatu na Mikoba,"Viatu vya michezo inauzwa TZS 87,500 kwa jozi. Tunayo bidhaa hii na usafirishaji unachukua siku 5.",Kiswahili
Nikinunua 1 kichwa za Ng'ombe wa maziwa nitatozwa kiasi gani?,Kilimo na Mifugo,"Bei yetu ya Ng'ombe wa maziwa ni TZS 1,190,500, na tunaweza kuisafirisha hadi Mwanza ndani ya siku 5.",Kiswahili
Nikinunua 2 laini za Usajili wa laini nitatozwa kiasi gani?,Mifuko ya Intaneti na Salio,"Bei ya sasa ya 2 laini za Usajili wa laini ni TZS 4,000. Usafirishaji ndani ya siku 1 unawezekana.",Kiswahili
What is the price of Toothpaste?,Cosmetics & Personal Care,"Thank you for your inquiry. Toothpaste is priced at TZS 5,500 and is available for delivery within 5 days.",English
Do you have University past papers booklet in stock right now?,"Books, Education & Stationery","Our price for University past papers booklet is TZS 7,000, and we can deliver it to Tabora within 2 days.",English
"I want to buy Microwave oven, what is the price?",Home Appliances & Electronics,"The current price for 3 piece of Microwave oven is TZS 280,000. Delivery within 1 days is possible.",English
What is the price for 10 crate of Azam soda crate?,Food & Beverages,"Azam soda crate costs TZS 18,000 per crate. We have it available and delivery takes about 1 days.",English
Bei yenu nzuri zaidi ya Usajili wa laini ni ngapi?,Mifuko ya Intaneti na Salio,"Ndiyo, Usajili wa laini ipo dukani. Bei yake ni TZS 2,500 na usafirishaji hadi Mbeya unachukua siku 2.",Kiswahili
"I want to buy Airtime voucher 5000, what is the price?",Internet & Airtime Bundles,"The price of Airtime voucher 5000 is TZS 5,000. It is currently in stock and can be delivered to Shinyanga within 7 days.",English
"Je, kuna punguzo nikinunua 5 kipande za Router ya intaneti?","Kompyuta, TEHAMA na Ofisi","Bei ya Router ya intaneti ni TZS 46,500. Bidhaa hii ipo dukani na inaweza kusafirishwa hadi Dar es Salaam ndani ya siku 2.",Kiswahili
"I want to buy Geometry set, what is the price?","Books, Education & Stationery","Our price for Geometry set is TZS 6,500, and we can deliver it to Shinyanga within 5 days.",English
How long will delivery of Vodacom 5GB monthly bundle to Moshi take?,Internet & Airtime Bundles,"The price of Vodacom 5GB monthly bundle is TZS 17,500. It is currently in stock and can be delivered to Moshi within 1 days.",English
What's your best price for Waist bag?,Shoes & Bags,"Our price for Waist bag is TZS 8,500, and we can deliver it to Morogoro within 3 days.",English
Tairi la baiskeli inauzwa bei gani?,"Pikipiki, Baiskeli na Vipuri","Kwa sasa tunauza Tairi la baiskeli kwa TZS 20,000. Ipo dukani na tayari kwa usafirishaji ndani ya siku 4.",Kiswahili
Bei ya Inverter ya 1000W ni ngapi?,Vifaa vya Nyumbani na Umeme,"Bei yetu ya Inverter ya 1000W ni TZS 287,000, na tunaweza kuisafirisha hadi Tabora ndani ya siku 7.",Kiswahili
Is there a discount if I buy 1 piece of Power bank 10000mAh?,Mobile Phones,"Thank you for your inquiry. Power bank 10000mAh is priced at TZS 40,000 and is available for delivery within 4 days.",English
How much would 3 bag of Rice 25kg cost me?,Food & Beverages,"Rice 25kg is available at TZS 61,000. Kindly note delivery to Tabora takes 2 days.",English
