category,product_english,product_swahili,question,answer
Food and Groceries,Tomato sauce,Mchuzi wa nyanya,Where can I find Tomato sauce?,You can find Tomato sauce under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Spices,Viungo,What is Spices?,Spices (Viungo) is available under the Food and Groceries category.
Food and Groceries,Spices,Viungo,Do you have Spices?,"Yes, Spices (Viungo) can be searched in the Food and Groceries category."
Food and Groceries,Spices,Viungo,Nahitaji Viungo.,"Ndiyo, Viungo (Spices) ipo kwenye category ya Food and Groceries."
Food and Groceries,Spices,Viungo,Bei ya Viungo ni kiasi gani?,"Bei ya Viungo inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Spices,Viungo,Can you recommend Spices?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Spices.
Food and Groceries,Spices,Viungo,Where can I find Spices?,You can find Spices under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Onions,Vitunguu,What is Onions?,Onions (Vitunguu) is available under the Food and Groceries category.
Food and Groceries,Onions,Vitunguu,Do you have Onions?,"Yes, Onions (Vitunguu) can be searched in the Food and Groceries category."
Food and Groceries,Onions,Vitunguu,Nahitaji Vitunguu.,"Ndiyo, Vitunguu (Onions) ipo kwenye category ya Food and Groceries."
Food and Groceries,Onions,Vitunguu,Bei ya Vitunguu ni kiasi gani?,"Bei ya Vitunguu inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Onions,Vitunguu,Can you recommend Onions?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Onions.
Food and Groceries,Onions,Vitunguu,Where can I find Onions?,You can find Onions under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Tomatoes,Nyanya,What is Tomatoes?,Tomatoes (Nyanya) is available under the Food and Groceries category.
Food and Groceries,Tomatoes,Nyanya,Do you have Tomatoes?,"Yes, Tomatoes (Nyanya) can be searched in the Food and Groceries category."
Food and Groceries,Tomatoes,Nyanya,Nahitaji Nyanya.,"Ndiyo, Nyanya (Tomatoes) ipo kwenye category ya Food and Groceries."
Food and Groceries,Tomatoes,Nyanya,Bei ya Nyanya ni kiasi gani?,"Bei ya Nyanya inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Tomatoes,Nyanya,Can you recommend Tomatoes?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Tomatoes.
Food and Groceries,Tomatoes,Nyanya,Where can I find Tomatoes?,You can find Tomatoes under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Potatoes,Viazi,What is Potatoes?,Potatoes (Viazi) is available under the Food and Groceries category.
Food and Groceries,Potatoes,Viazi,Do you have Potatoes?,"Yes, Potatoes (Viazi) can be searched in the Food and Groceries category."
Food and Groceries,Potatoes,Viazi,Nahitaji Viazi.,"Ndiyo, Viazi (Potatoes) ipo kwenye category ya Food and Groceries."
Food and Groceries,Potatoes,Viazi,Bei ya Viazi ni kiasi gani?,"Bei ya Viazi inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Potatoes,Viazi,Can you recommend Potatoes?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Potatoes.
Food and Groceries,Potatoes,Viazi,Where can I find Potatoes?,You can find Potatoes under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Bananas,Ndizi,What is Bananas?,Bananas (Ndizi) is available under the Food and Groceries category.
Food and Groceries,Bananas,Ndizi,Do you have Bananas?,"Yes, Bananas (Ndizi) can be searched in the Food and Groceries category."
Food and Groceries,Bananas,Ndizi,Nahitaji Ndizi.,"Ndiyo, Ndizi (Bananas) ipo kwenye category ya Food and Groceries."
Food and Groceries,Bananas,Ndizi,Bei ya Ndizi ni kiasi gani?,"Bei ya Ndizi inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Bananas,Ndizi,Can you recommend Bananas?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Bananas.
Food and Groceries,Bananas,Ndizi,Where can I find Bananas?,You can find Bananas under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Oranges,Machungwa,What is Oranges?,Oranges (Machungwa) is available under the Food and Groceries category.
Food and Groceries,Oranges,Machungwa,Do you have Oranges?,"Yes, Oranges (Machungwa) can be searched in the Food and Groceries category."
Food and Groceries,Oranges,Machungwa,Nahitaji Machungwa.,"Ndiyo, Machungwa (Oranges) ipo kwenye category ya Food and Groceries."
Food and Groceries,Oranges,Machungwa,Bei ya Machungwa ni kiasi gani?,"Bei ya Machungwa inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Oranges,Machungwa,Can you recommend Oranges?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Oranges.
Food and Groceries,Oranges,Machungwa,Where can I find Oranges?,You can find Oranges under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Mangoes,Maembe,What is Mangoes?,Mangoes (Maembe) is available under the Food and Groceries category.
Food and Groceries,Mangoes,Maembe,Do you have Mangoes?,"Yes, Mangoes (Maembe) can be searched in the Food and Groceries category."
Food and Groceries,Mangoes,Maembe,Nahitaji Maembe.,"Ndiyo, Maembe (Mangoes) ipo kwenye category ya Food and Groceries."
Food and Groceries,Mangoes,Maembe,Bei ya Maembe ni kiasi gani?,"Bei ya Maembe inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Mangoes,Maembe,Can you recommend Mangoes?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Mangoes.
Food and Groceries,Mangoes,Maembe,Where can I find Mangoes?,You can find Mangoes under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Avocados,Parachichi,What is Avocados?,Avocados (Parachichi) is available under the Food and Groceries category.
Food and Groceries,Avocados,Parachichi,Do you have Avocados?,"Yes, Avocados (Parachichi) can be searched in the Food and Groceries category."
Food and Groceries,Avocados,Parachichi,Nahitaji Parachichi.,"Ndiyo, Parachichi (Avocados) ipo kwenye category ya Food and Groceries."
Food and Groceries,Avocados,Parachichi,Bei ya Parachichi ni kiasi gani?,"Bei ya Parachichi inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Avocados,Parachichi,Can you recommend Avocados?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Avocados.
Food and Groceries,Avocados,Parachichi,Where can I find Avocados?,You can find Avocados under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Chicken,Kuku,What is Chicken?,Chicken (Kuku) is available under the Food and Groceries category.
Food and Groceries,Chicken,Kuku,Do you have Chicken?,"Yes, Chicken (Kuku) can be searched in the Food and Groceries category."
Food and Groceries,Chicken,Kuku,Nahitaji Kuku.,"Ndiyo, Kuku (Chicken) ipo kwenye category ya Food and Groceries."
Food and Groceries,Chicken,Kuku,Bei ya Kuku ni kiasi gani?,"Bei ya Kuku inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Chicken,Kuku,Can you recommend Chicken?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Chicken.
Food and Groceries,Chicken,Kuku,Where can I find Chicken?,You can find Chicken under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Beef,Nyama ya ng'ombe,What is Beef?,Beef (Nyama ya ng'ombe) is available under the Food and Groceries category.
Food and Groceries,Beef,Nyama ya ng'ombe,Do you have Beef?,"Yes, Beef (Nyama ya ng'ombe) can be searched in the Food and Groceries category."
Food and Groceries,Beef,Nyama ya ng'ombe,Nahitaji Nyama ya ng'ombe.,"Ndiyo, Nyama ya ng'ombe (Beef) ipo kwenye category ya Food and Groceries."
Food and Groceries,Beef,Nyama ya ng'ombe,Bei ya Nyama ya ng'ombe ni kiasi gani?,"Bei ya Nyama ya ng'ombe inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Beef,Nyama ya ng'ombe,Can you recommend Beef?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Beef.
Food and Groceries,Beef,Nyama ya ng'ombe,Where can I find Beef?,You can find Beef under the Food and Groceries category. The agent can help compare available options.
Food and Groceries,Fish,Samaki,What is Fish?,Fish (Samaki) is available under the Food and Groceries category.
Food and Groceries,Fish,Samaki,Do you have Fish?,"Yes, Fish (Samaki) can be searched in the Food and Groceries category."
Food and Groceries,Fish,Samaki,Nahitaji Samaki.,"Ndiyo, Samaki (Fish) ipo kwenye category ya Food and Groceries."
Food and Groceries,Fish,Samaki,Bei ya Samaki ni kiasi gani?,"Bei ya Samaki inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Food and Groceries,Fish,Samaki,Can you recommend Fish?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Fish.
Food and Groceries,Fish,Samaki,Where can I find Fish?,You can find Fish under the Food and Groceries category. The agent can help compare available options.
Drinks,Bottled water,Maji ya chupa,What is Bottled water?,Bottled water (Maji ya chupa) is available under the Drinks category.
Drinks,Bottled water,Maji ya chupa,Do you have Bottled water?,"Yes, Bottled water (Maji ya chupa) can be searched in the Drinks category."
Drinks,Bottled water,Maji ya chupa,Nahitaji Maji ya chupa.,"Ndiyo, Maji ya chupa (Bottled water) ipo kwenye category ya Drinks."
Drinks,Bottled water,Maji ya chupa,Bei ya Maji ya chupa ni kiasi gani?,"Bei ya Maji ya chupa inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Drinks,Bottled water,Maji ya chupa,Can you recommend Bottled water?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Bottled water.
Drinks,Bottled water,Maji ya chupa,Where can I find Bottled water?,You can find Bottled water under the Drinks category. The agent can help compare available options.
Drinks,Soda,Soda,What is Soda?,Soda (Soda) is available under the Drinks category.
Drinks,Soda,Soda,Do you have Soda?,"Yes, Soda (Soda) can be searched in the Drinks category."
Drinks,Soda,Soda,Nahitaji Soda.,"Ndiyo, Soda (Soda) ipo kwenye category ya Drinks."
Drinks,Soda,Soda,Bei ya Soda ni kiasi gani?,"Bei ya Soda inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Drinks,Soda,Soda,Can you recommend Soda?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Soda.
Drinks,Soda,Soda,Where can I find Soda?,You can find Soda under the Drinks category. The agent can help compare available options.
Drinks,Juice,Juisi,What is Juice?,Juice (Juisi) is available under the Drinks category.
Drinks,Juice,Juisi,Do you have Juice?,"Yes, Juice (Juisi) can be searched in the Drinks category."
Drinks,Juice,Juisi,Nahitaji Juisi.,"Ndiyo, Juisi (Juice) ipo kwenye category ya Drinks."
Drinks,Juice,Juisi,Bei ya Juisi ni kiasi gani?,"Bei ya Juisi inategemea brand, size, quantity, and seller. Please specify the preferred brand or size."
Drinks,Juice,Juisi,Can you recommend Juice?,Yes. Please tell me your budget and preferred brand or size so I can recommend a suitable Juice.
Drinks,Juice,Juisi,Where can I find Juice?,You can find Juice under the Drinks category. The agent can help compare available options.
Drinks,Energy drinks,Vinywaji vya kuongeza nguvu,What is Energy drinks?,Energy drinks (Vinywaji vya kuongeza nguvu) is available under the Drinks category.
Drinks,Energy drinks,Vinywaji vya kuongeza nguvu,Do you have Energy drinks?,"Yes, Energy drinks (Vinywaji vya kuongeza nguvu) can be searched in the Drinks category."
Drinks,Energy drinks,Vinywaji vya kuongeza nguvu,Nahitaji Vinywaji vya kuongeza nguvu.,"Ndiyo, Vinywaji vya kuongeza nguvu (Energy drinks) ipo kwenye category ya Drinks."
